,id_meeting,date,location,note
0,1,2007-10-17 01:42:49,square,skate
1,2,2007-10-27 15:00:00,park,
2,3,2007-11-13 10:00:00,school,
3,4,2007-10-14 20:00:00,cinema,
4,5,2007-10-18 22:00:00,under city clock,flower
5,6,2007-10-24 19:00:00,theater,
6,7,2007-12-30 10:45:00,Brno,Bláhovka
7,8,2007-10-25 15:45:00,Brno,Bláhovka
8,9,2007-11-26 12:00:00,at home,lunch
9,10,2007-12-17 16:30:00,park,
10,11,2007-10-25 17:20:00,Brno,Bláhovka
11,12,2007-10-28 06:50:00,school,
12,13,2008-01-10 15:45:00,Brno,Mendlák
13,14,2007-11-02 20:20:00,Brno,BVV
14,15,2008-01-13 12:00:00,at home,oběd
15,16,2008-02-17 16:30:00,park,
16,17,2008-01-15 17:00:00,Brno,Bláhovka
17,18,2008-03-03 06:00:00,school,
